Node,AverageAttackRate
274,0.009273
275,0.009274
276,0.009268
277,0.009275
278,0.009273
279,0.009273
280,0.009277
281,0.009277
282,0.009277
283,0.009275
284,0.009277
285,0.009276
286,0.009277
287,0.009273
288,0.009276
289,0.009275
290,0.009272
291,0.009278
292,0.009276
293,0.009276
294,0.009278
295,0.009271
296,0.009278
297,0.009274
298,0.009279
299,0.009275
300,0.009276
301,0.009277
302,0.009278
303,0.009269
304,0.009274
305,0.009277
306,0.009277
307,0.009266
308,0.009277
309,0.009276
310,0.009268
311,0.009279
312,0.009278
313,0.009278
314,0.009275
315,0.009272
316,0.009273
317,0.009276
318,0.009278
319,0.009268
320,0.009278
321,0.009278
322,0.009275
323,0.009278
324,0.009277
325,0.009278
326,0.009273
327,0.009275
328,0.009277
329,0.009276
330,0.009276
331,0.009275
332,0.009275
333,0.009270
334,0.009273
335,0.009277
336,0.009279
337,0.009271
338,0.009278
339,0.009278
340,0.009276
341,0.009269
342,0.009273
343,0.009277
344,0.009276
345,0.009278
346,0.009278
347,0.009279
348,0.009276
349,0.009271
350,0.009276
351,0.009277
352,0.009278
353,0.009277
354,0.009276
355,0.009272
356,0.009277
357,0.009272
358,0.009278
359,0.009270
360,0.009272
361,0.009272
362,0.009272
363,0.009278
364,0.009272
365,0.009267
366,0.009274
367,0.009277
368,0.009267
369,0.009276
370,0.009277
371,0.009269
372,0.009279
373,0.009277
374,0.009278
375,0.009275
376,0.009277
377,0.009278
378,0.009277
379,0.009276
380,0.009274
381,0.009276
382,0.009278
383,0.009279
384,0.009277
385,0.009278
386,0.009276
387,0.009276
388,0.009276
389,0.009275
390,0.009277
391,0.009277
392,0.009278
393,0.009274
394,0.009277
395,0.009276
396,0.009276
397,0.009277
398,0.009270
399,0.009278
400,0.009276
401,0.009270
402,0.009273
403,0.009276
404,0.009277
405,0.009273
406,0.009272
407,0.009276
408,0.009277
409,0.009274
410,0.009276
411,0.009277
412,0.009275
413,0.009278
414,0.009273
415,0.009277
416,0.009278
417,0.009276
418,0.009277
419,0.009278
420,0.009272
421,0.009277
422,0.009277
423,0.009264
424,0.009270
425,0.009276
426,0.009279
427,0.009277
428,0.009279
429,0.009279
430,0.009277
431,0.009276
432,0.009279
433,0.009277
434,0.009274
435,0.009277
436,0.009271
437,0.009277
438,0.009276
439,0.009273
440,0.009277
441,0.009279
442,0.009278
443,0.009273
444,0.009277
445,0.009276
446,0.009277
447,0.009279
448,0.009278
449,0.009278
450,0.009277
451,0.009277
452,0.009275
453,0.009275
454,0.009278
455,0.009278
456,0.009277
457,0.009277
458,0.009277
459,0.009271
460,0.009277
461,0.009279
462,0.009277
463,0.009274
464,0.009277
465,0.009278
466,0.009276
467,0.009277
468,0.009278
469,0.009273
470,0.009276
471,0.009277
472,0.009267
473,0.009270
474,0.009277
475,0.009279
476,0.009278
477,0.009278
478,0.009277
479,0.009271
480,0.009277
481,0.009278
482,0.009277
483,0.009276
484,0.009276
485,0.009276
486,0.009273
487,0.009276
488,0.009276
489,0.009279
490,0.009273
491,0.009265
492,0.009278
493,0.009263
494,0.009276
495,0.009276
496,0.009272
497,0.009278
498,0.009275
499,0.009275
500,0.009276
501,0.009275
502,0.009275
503,0.009276
504,0.009275
505,0.009274
506,0.009274
507,0.009276
508,0.009273
509,0.009269
510,0.009275
511,0.009274
512,0.009278
513,0.009278
514,0.009278
515,0.009276
516,0.009276
517,0.009277
518,0.009277
519,0.009276
520,0.009275
521,0.009278
522,0.009277
523,0.009279
524,0.009277
525,0.009267
526,0.009278
527,0.009275
528,0.009277
529,0.009268
530,0.009273
531,0.009275
532,0.009276
533,0.009276
534,0.009274
535,0.009274
536,0.009276
537,0.009278
538,0.009270
539,0.009276
540,0.009270
541,0.009276
542,0.009275
543,0.009277
544,0.009277
545,0.009274
546,0.009275
547,0.009279
548,0.009278
549,0.009277
550,0.009274
551,0.009277
552,0.009273
553,0.009278
554,0.009278
555,0.009272
556,0.009277
557,0.009279
558,0.009277
559,0.009276
560,0.009277
561,0.009277
562,0.009277
563,0.009279
564,0.009279
565,0.009276
566,0.009273
567,0.009278
568,0.009276
569,0.009275
570,0.009271
571,0.009279
572,0.009277
573,0.009275
574,0.009275
575,0.009271
576,0.009278
577,0.009278
578,0.009276
579,0.009278
580,0.009272
581,0.009279
582,0.009278
583,0.009276
584,0.009280
585,0.009277
586,0.009268
587,0.009277
588,0.009273
589,0.009273
590,0.009278
591,0.009272
592,0.009280
593,0.009280
594,0.009272
595,0.009277
596,0.009273
597,0.009278
598,0.009276
599,0.009274
600,0.009276
601,0.009277
602,0.009277
603,0.009273
604,0.009277
605,0.009274
606,0.009272
607,0.009274
608,0.009273
609,0.009274
610,0.009274
611,0.009276
612,0.009277
613,0.009273
614,0.009272
615,0.009271
616,0.009274
617,0.009267
618,0.009276
619,0.009276
620,0.009279
621,0.009278
622,0.009276
623,0.009278
624,0.009276
625,0.009276
626,0.009274
627,0.009277
628,0.009277
629,0.009272
630,0.009277
631,0.009278
632,0.009273
633,0.009277
634,0.009272
635,0.009276
636,0.009277
637,0.009278
638,0.009272
639,0.009272
640,0.009277
641,0.009276
642,0.009270
643,0.009275
644,0.009279
645,0.009273
646,0.009273
647,0.009274
648,0.009275
649,0.009274
650,0.009276
651,0.009278
652,0.009277
653,0.009276
654,0.009277
655,0.009277
656,0.009275
657,0.009271
658,0.009278
659,0.009277
660,0.009278
661,0.009278
662,0.009276
663,0.009276
664,0.009275
665,0.009277
666,0.009276
667,0.009275
668,0.009276
669,0.009278
670,0.009276
671,0.009279
672,0.009278
673,0.009275
674,0.009278
675,0.009279
676,0.009279
677,0.009267
678,0.009275
679,0.009277
680,0.009279
681,0.009274
682,0.009279
683,0.009277
684,0.009269
685,0.009270
686,0.009277
687,0.009276
688,0.009277
689,0.009278
690,0.009275
691,0.009278
692,0.009278
693,0.009277
694,0.009277
695,0.009275
696,0.009275
697,0.009277
698,0.009275
699,0.009278
700,0.009278
701,0.009276
702,0.009275
703,0.009275
704,0.009276
705,0.009278
706,0.009277
707,0.009272
708,0.009277
709,0.009278
710,0.009270
711,0.009278
712,0.009275
713,0.009273
714,0.009278
715,0.009278
716,0.009272
717,0.009272
718,0.009280
719,0.009277
720,0.009277
721,0.009277
722,0.009273
723,0.009278
724,0.009279
725,0.009277
726,0.009276
727,0.009273
728,0.009278
729,0.009272
730,0.009278
731,0.009277
732,0.009277
733,0.009273
734,0.009274
735,0.009270
736,0.009273
737,0.009276
738,0.009271
739,0.009276
740,0.009271
741,0.009279
742,0.009278
743,0.009278
744,0.009275
745,0.009274
746,0.009276
747,0.009271
748,0.009278
749,0.009278
750,0.009271
751,0.009276
752,0.009278
753,0.009271
754,0.009278
755,0.009274
756,0.009278
757,0.009277
758,0.009279
759,0.009276
760,0.009272
761,0.009279
762,0.009276
763,0.009277
764,0.009277
765,0.009278
766,0.009277
767,0.009276
768,0.009277
769,0.009269
770,0.009274
771,0.009272
772,0.009267
773,0.009273
774,0.009278
775,0.009279
776,0.009272
777,0.009277
778,0.009276
779,0.009277
780,0.009274
781,0.009273
782,0.009278
783,0.009276
784,0.009274
785,0.009277
786,0.009278
787,0.009277
788,0.009275
789,0.009277
790,0.009276
791,0.009278
792,0.009278
793,0.009276
794,0.009273
795,0.009279
796,0.009278
797,0.009274
798,0.009278
799,0.009278
800,0.009274
801,0.009273
802,0.009274
803,0.009277
804,0.009279
805,0.009274
806,0.009274
807,0.009275
808,0.009276
809,0.009277
810,0.009278
811,0.009272
812,0.009276
813,0.009277
814,0.009275
815,0.009272
816,0.009274
817,0.009274
818,0.009269
819,0.009276
820,0.009279
821,0.009276
822,0.009277
823,0.009272
824,0.009277
825,0.009273
826,0.009273
827,0.009277
828,0.009277
829,0.009273
830,0.009274
831,0.009279
832,0.009278
833,0.009273
834,0.009277
835,0.009278
836,0.009277
837,0.009279
838,0.009275
839,0.009274
840,0.009277
841,0.009271
842,0.009274
843,0.009275
844,0.009274
845,0.009278
846,0.009277
847,0.009268
848,0.009274
849,0.009279
850,0.009279
851,0.009276
852,0.009278
853,0.009276
854,0.009277
855,0.009265
856,0.009276
857,0.009271
858,0.009274
859,0.009276
860,0.009276
861,0.009276
862,0.009280
863,0.009278
864,0.009278
865,0.009277
866,0.009277
867,0.009277
868,0.009276
869,0.009277
870,0.009274
871,0.009278
872,0.009279
873,0.009276
874,0.009272
875,0.009278
876,0.009270
877,0.009271
878,0.009277
879,0.009277
880,0.009275
881,0.009270
882,0.009274
883,0.009275
884,0.009273
885,0.009277
886,0.009276
887,0.009278
888,0.009276
889,0.009278
890,0.009276
891,0.009274
892,0.009274
893,0.009277
894,0.009277
895,0.009276
896,0.009275
897,0.009275
898,0.009271
899,0.009273
900,0.009278
901,0.009273
902,0.009276
903,0.009276
904,0.009277
905,0.009276
906,0.009272
907,0.009277
908,0.009274
909,0.009274
910,0.009277
911,0.009270
912,0.009273
913,0.009276
914,0.009275
915,0.009277
916,0.009277
917,0.009273
918,0.009278
919,0.009276
920,0.009275
921,0.009273
922,0.009274
923,0.009273
924,0.009277
925,0.009274
926,0.009278
927,0.009274
928,0.009275
929,0.009276
930,0.009276
931,0.009272
932,0.009271
933,0.009277
934,0.009277
935,0.009278
936,0.009277
937,0.009276
938,0.009273
939,0.009278
940,0.009272
941,0.009269
942,0.009278
943,0.009278
944,0.009275
945,0.009278
946,0.009276
947,0.009277
948,0.009267
949,0.009277
950,0.009279
951,0.009275
952,0.009276
953,0.009277
954,0.009278
955,0.009268
956,0.009277
957,0.009269
958,0.009274
959,0.009274
960,0.009273
961,0.009276
962,0.009277
963,0.009277
964,0.009275
965,0.009275
966,0.009278
967,0.009276
968,0.009278
969,0.009267
970,0.009278
971,0.009279
972,0.009278
973,0.009276
974,0.009278
975,0.009275
976,0.009276
977,0.009277
978,0.009273
979,0.009280
980,0.009275
981,0.009277
982,0.009278
983,0.009278
984,0.009275
985,0.009275
986,0.009270
987,0.009276
988,0.009273
989,0.009277
990,0.009276
991,0.009279
992,0.009269
993,0.009272
994,0.009278
995,0.009278
996,0.009276
997,0.009277
998,0.009275
999,0.009278
