node,neighbors,degree
10,"0,2,3,4,5,15,21,31,52,53,63,65,75,88,117,123,146,153,180,272,298,318,326,334,348,393,398,429,431,491,504,681,698,730,764,770,776,859,868,873,939,982,987",43
11,"0,2,4,5,8,12,14,15,16,17,18,21,22,24,26,27,34,36,38,39,40,41,45,46,56,63,64,65,79,80,82,87,90,91,100,103,117,119,123,130,132,153,164,170,180,200,218,226,235,242,262,271,291,301,309,325,328,343,345,346,351,354,377,414,428,432,493,495,533,557,577,638,654,663,664,678,701,705,781,784,796,801,803,811,884,894,932,991",88
12,"3,5,7,8,11,13,17,40,47,58,101,115,154,157,221,248,249,290,293,388,392,448,452,545,570,691,760,793,893,947,961",31
13,"0,1,2,4,12,30,44,72,106,134,145,146,167,173,175,220,238,279,302,313,367,378,439,459,468,471,476,589,619,666,862,876,931",33
14,"0,4,7,8,11,46,55,59,60,67,78,86,104,106,108,132,160,161,163,172,179,245,250,258,278,307,312,364,375,404,433,436,472,487,498,515,527,529,587,611,625,629,651,690,750,798,805,839,840,881,896,969,978,985",54
15,"0,4,8,10,11,19,23,25,36,50,53,133,164,182,220,222,226,269,284,314,371,417,455,470,477,503,546,701,727,921",30
16,"0,3,4,7,11,17,19,25,29,30,34,39,45,48,50,64,71,86,127,132,139,143,175,179,190,248,280,284,303,333,334,365,466,470,498,560,571,592,599,627,628,631,634,636,664,726,759,811,841,914,925,932,954",53
17,"3,5,11,12,16,22,25,32,38,39,43,47,48,49,51,57,59,74,76,85,101,110,111,126,135,148,186,192,197,201,205,246,257,341,355,426,435,450,509,567,599,627,656,687,692,731,743,749,823,830,888,911,920",53
18,"3,7,8,9,11,20,22,25,38,41,47,70,85,87,99,108,114,121,137,138,166,176,181,221,309,355,375,409,413,414,424,426,432,516,518,520,647,678,791,949",40
19,"0,2,3,15,16,21,23,28,48,64,92,116,218,221,230,363,405,492,529,558,571,677,699,848,852,854,886,925",28
20,"0,2,3,5,18,95,98,100,112,123,141,151,152,170,181,182,223,225,239,243,275,285,332,385,479,571,624,634,692,749,752,757,772,871,933,995",36
21,"0,1,10,11,19,32,44,47,74,90,163,204,217,317,353,444,445,509,542,622,757,784,785,808,845,849,866,906,921,972,980",31
22,"1,9,11,17,18,23,32,37,42,59,71,73,94,101,108,150,163,233,268,291,314,348,413,424,486,496,505,513,570,600,717,805,936,974",34
23,"0,3,15,19,22,26,27,40,68,71,89,165,180,201,227,252,289,343,357,557,649,687,781,960",24
24,"0,2,3,9,11,28,30,36,69,92,100,101,106,142,143,156,169,176,188,207,238,251,275,316,352,368,377,398,421,426,433,443,450,467,482,486,536,556,594,638,651,657,687,716,731,800,812,813,869,875,923,955,961",53
25,"4,15,16,17,18,28,31,40,104,145,183,186,277,310,315,364,404,416,462,465,610,700,803,818,945,948,975",27
26,"2,3,4,11,23,34,73,77,95,117,121,144,149,165,187,217,253,339,450,594,597,603,646,785,797,867,879,895,953",29
27,"0,8,9,11,23,34,50,60,96,120,145,232,288,323,447,486,523,668,669,722,792,847,868,965",24
28,"0,4,19,24,25,35,37,44,47,98,120,122,127,149,157,160,182,187,188,238,250,258,329,361,362,369,379,419,432,444,498,522,535,604,624,691,764,820,840,880,910,914,957,994",44
29,"2,3,4,5,16,36,49,56,80,89,124,129,132,189,209,213,214,232,237,243,311,314,325,331,341,363,395,437,471,484,528,536,550,553,592,667,690,724,743,826,845,913,981",43
30,"3,7,13,16,24,31,33,35,36,61,68,96,107,109,117,125,134,146,150,152,153,169,181,194,215,223,236,246,252,256,259,268,318,330,339,353,362,387,485,487,528,535,555,557,563,573,579,623,671,681,835,871,897,965,988",55
31,"4,8,10,25,30,100,139,228,336,383,441,491,495,561,566,581,674,677,960",19
32,"0,3,17,21,22,33,72,207,220,285,291,310,355,410,449,479,623,644,655,781,894,905",22
33,"0,1,3,30,32,37,41,56,72,73,91,97,160,163,175,184,185,243,245,274,306,340,421,431,444,461,476,479,481,510,533,582,668,693,698,705,844,858,902,903",40
34,"2,11,16,26,27,53,55,57,59,79,83,93,115,126,142,147,148,161,181,184,196,207,217,261,264,277,282,297,307,337,365,373,377,398,418,448,457,511,515,544,587,628,630,661,691,725,741,763,842,846,857,876,962,976",54
35,"4,5,8,28,30,41,56,57,60,89,107,116,325,466,519,595,758,829,884,902,943",21
36,"11,15,24,29,30,49,61,63,65,66,70,83,85,90,174,183,184,211,271,371,499,551,599,654,655,722,911,921,947,959",30
37,"1,4,22,28,33,38,42,84,93,187,222,342,363,371,481,534,752,762,892",19
38,"0,11,17,18,37,48,54,86,125,130,188,250,259,285,286,322,329,409,465,546,566,619,661,721,757,870,961",27
39,"2,3,11,16,17,57,61,70,87,103,109,124,136,140,164,184,190,201,213,226,248,263,296,297,300,330,357,412,468,473,477,478,482,562,572,588,629,648,654,675,694,729,772,901,918,971,986",47
40,"0,11,12,23,25,43,52,53,68,83,84,107,141,208,222,236,284,312,344,414,476,492,591,606,631,646,739,802,916,992",30
41,"3,11,18,33,35,45,51,61,67,88,97,126,131,193,222,224,308,317,380,472,554,630,737,955",24
42,"3,4,5,22,37,46,58,75,77,90,101,213,248,264,282,283,344,524,591,695,719,750,817,828,874,904,968,988",28
43,"5,6,9,17,40,48,51,70,86,93,175,277,350,353,368,421,490,524,525,531,608,688,721,815,952,972",26
44,"4,8,13,21,28,45,70,75,98,126,128,193,300,380,452,521,522,617,666,820,974,982",22
45,"5,11,16,41,44,67,78,130,196,393,416,427,646,945",14
46,"0,3,11,14,42,61,75,141,179,231,312,330,368,400,408,442,483,488,497,503,507,697,902,905,950,973",26
47,"12,17,18,21,28,62,74,87,103,120,162,197,297,451,510,612,632,666,698,779,796,832,855,942",24
48,"16,17,19,38,43,52,62,68,69,88,133,160,216,241,294,502,657,713,783,810,847",21
49,"3,7,17,29,36,192,199,244,276,455,488,540,733,836,910,952",16
50,"0,3,15,16,27,152,154,386,476,735,790,856,971,973",14
51,"1,7,17,41,43,78,94,97,104,179,212,279,280,316,335,338,383,390,464,583,608,710,738,745,803,828,842,882,920,924,937,951,973",33
52,"6,8,10,40,48,66,74,91,119,139,140,153,155,158,162,168,219,223,238,242,244,332,349,375,387,409,417,446,450,453,491,498,546,578,589,610,751,762,793,822,838,846,850,898,904,944,998",47
53,"3,10,15,34,40,73,82,85,97,124,125,127,135,147,185,198,205,224,256,260,275,294,317,324,325,351,361,402,405,407,416,454,490,501,506,528,575,584,616,626,673,725,747,794,811,857,875,960",48
54,"0,1,2,3,38,58,64,71,72,76,82,114,120,122,135,158,237,252,266,276,283,302,304,410,420,488,493,517,547,551,586,611,679,683,702,714,785,790,806,860,877",41
55,"0,3,5,14,34,71,80,91,128,136,243,246,250,275,295,302,311,321,384,493,500,502,505,507,597,614,626,648,659,782,819,855,980",33
56,"0,11,29,33,35,91,143,190,191,212,647,655,774,971",14
57,"3,17,34,35,39,81,326,665",8
58,"1,2,12,42,54,66,92,93,138,141,165,228,297,349,370,378,442,516,534,549,645,662,686,687,780,827,913,915",28
59,"8,14,17,22,34,69,75,82,108,124,129,138,145,225,288,382,425,469,485,512,575,583,593,674,689,774,776,779,807,860,875,929,969,993,994",35
60,"0,2,14,27,35,78,88,122,261,335,374,453,608,675,975",15
61,"30,36,39,41,46,165,166,269,372,408,452,472,518,542,560,662,733,738",18
62,"0,7,9,47,48,118,128,150,200,208,229,231,302,410,438,459,497,559,625,646,716,734,750,773,784,804,825,832,908,954,977",31
63,"0,3,10,11,36,76,121,135,187,188,214,225,230,253,256,310,322,337,446,460,469,530,541,552,590,641,654,735,872,884",30
64,"5,11,16,19,54,84,105,139,147,171,174,186,240,456,462,523,613,661,686,960",20
65,"1,3,10,11,36,114,142,172,195,202,208,226,251,319,320,351,356,363,425,427,467,469,538,597,606,659,715,831,952",29
66,"0,1,36,52,58,201,255,276,303,579,621,625,681,812,932",15
67,"0,6,14,41,45,102,126,269,708,723,747,903",12
68,"3,23,30,40,48,76,79,102,151,177,294,310,351,454,458,576,585,684,772,833,874",21
69,"2,6,24,48,59,86,141,202,242,273,279,401,540,742,798,835,836,879,963",19
70,"18,36,39,43,44,78,105,115,132,135,195,215,218,235,243,266,370,379,381,389,394,457,543,612,623,649,746,755,756,763,789,953,958,960,990",35
71,"16,22,23,54,55,103,112,149,351,396,407,563,649,878,928,935",16
72,"3,13,32,33,54,148,177,201,209,210,265,272,314,329,332,334,365,409,564,609,735,745,772,802,824,920",26
73,"0,22,26,33,53,95,105,265,700,982",10
74,"3,17,21,47,52,111,116,228,305,350,411,458,476,594,613,643,693,745",18
75,"10,42,44,46,59,110,113,196,206,245,246,255,289,293,342,369,521,547,607,670,821,879,913,950",24
76,"0,17,54,63,68,81,105,111,112,187,210,237,244,251,267,363,464,471,506,526,595,597,625,851,912,918",26
77,"0,3,4,26,42,88,282,321,327,350,365,494,500,582,602,629,720,834",18
78,"14,45,51,60,70,108,174,178,192,426,623,636,663,670,736,868",16
79,"0,4,11,34,68,84,232,235,239,313,333,462,806,816",14
80,"3,4,11,29,55,114,134,145,211,212,270,287,346,373,720,775,806,827,864",19
81,"0,3,4,57,76,104,133,149,200,202,219,233,255,280,338,341,352,376,431,485,518,522,566,632,705,716,742,868,913,947",30
82,"7,11,53,54,59,167,283,313,436,464,512,570,603,893,898,899",16
83,"1,4,34,36,40,102,118,162,193,260,268,352,364,403,508,756,904",17
84,"5,37,40,64,79,113,124,168,241,254,308,417,533,669",14
85,"3,17,18,36,53,87,102,178,199,203,216,234,244,296,340,376,413,443,456,513,617,676,815,894,922,968,994",27
86,"14,16,38,43,69,97,99,127,144,155,252,253,313,395,516,530,598,609,612,620,711,721,879",23
87,"11,18,39,47,85,122,130,148,151,206,211,229,256,257,262,269,311,359,388,392,393,407,457,482,501,524,530,601,603,612,713,727,746,756,815,822,857,859",38
88,"10,41,48,60,77,94,162,163,195,231,239,252,305,315,320,397,415,589,635,647,661,755,758,824,885,984",26
89,"0,4,23,29,35,92,154,159,261,361,367,429,704,803,808,836",16
90,"6,11,21,36,42,109,205,319,389,400,423,447,525,607,672,878",16
91,"11,33,52,55,56,172,196,247,319,353,354,360,381,401,446,467,636,838,877",19
92,"4,19,24,58,89,185,194,205,214,296,319,693,827",13
93,"3,34,37,43,58,131,176,189,193,209,231,298,535,554,663,749,809",17
94,"3,7,22,51,88,95,120,136,155,183,186,213,232,247,260,286,298,312,336,366,371,380,400,410,456,470,509,517,536,555,571,662,686,697,715,799,906,913,917,918,922",41
95,"7,20,26,73,94,99,107,117,218,346,416,696,810,948",14
96,"2,4,8,27,30,321,996",7
97,"33,41,51,53,86,139,249,368,551,645,890",11
98,"1,3,20,28,44,110,119,168,203,240,283,292,293,366,382,467,759,819,957",19
99,"0,4,18,86,95,118,159,173,268,301,359,435,468,616",14
100,"0,11,20,24,31,142,259,349,480,619,814,966",12
101,"12,17,22,24,42,137,258,302,372,565,706,730,740,783,899,984",16
102,"0,67,68,83,85,184,207,825,881",9
103,"8,11,39,47,71,159,438,526",8
104,"2,14,25,51,81,194,204,239,240,257,586",11
105,"5,64,70,73,76,166,186,270,274,313,504,520,801,945",14
106,"3,9,13,14,24,109,167,172,215,224,241,336,341,391,399,430,434,503,574,576,593,643,768,812,821,860,928",27
107,"4,30,35,40,95,110,118,149,152,174,231,290,323,391,422,493,508,600,604,684,783,787,835,842,975",25
108,"14,18,22,59,78,157,174,296,305,951",10
109,"1,30,39,90,106,161,414",7
110,"7,17,75,98,107,113,190,210,217,223,506,628,751,929,997",15
111,"0,4,17,74,76,212,278,362,384,677",10
112,"0,1,20,71,76,123,356,589,681,733,956",11
113,"0,1,75,84,110,171,213,220,278,310,337,386,671,694,909,937",16
114,"4,18,54,65,80,249,360,582,590,620,738,820,919",13
115,"0,5,12,34,70,125,206,332,418,422,633,738",12
116,"2,9,19,35,74,204,335,437,467,474,564,703,896",13
117,"10,11,26,30,95,211,248,779,888,933",10
118,"8,62,83,99,107,137,267,357,412,490,560,562,706",13
119,"3,5,11,52,98,179,197,225,322,432,441,539,588,647,651,690,722",17
120,"27,28,47,54,94,121,602,718,819,829,880",11
121,"8,18,26,63,120,146,164,257,320,458,463,598,608,617,624,660,826,988",18
122,"3,28,54,60,87,188,383,384",8
123,"5,10,11,20,112,131,160,182,185,191,197,230,261,269,301,356,387,389,434,443,461,500,511,552,657,746,811,865,956",29
124,"29,39,53,59,84,224,267,291,314,343,385,413,504,505,540,553,637,651,667,726,813,862,908,928,941",25
125,"9,30,38,53,115,170,277,281,362,587,595,708,712,764,861,943,980",17
126,"17,34,41,44,67,133,321,342,407,624,634,688,899,965",14
127,"3,16,28,53,86,138,366,583,720,993",10
128,"5,8,44,55,62,130,165,198,202,326,339,348,557,618,753,901",16
129,"3,5,9,29,59,131,153,225,299,629,685,777,805",13
130,"11,38,45,87,128,700,719,888",8
131,"5,41,93,123,129,155,158,397,402,427,428,469,517,770,847,887",16
132,"11,14,16,29,70,156,208,456,532,754,854,907",12
133,"5,15,48,81,126,137,150,209,405,451,501,747,863",13
134,"2,4,13,30,80,217,259,284",8
135,"17,53,54,63,70,137,191,515,525,531,550,797",12
136,"3,5,39,55,94,377,403,652,682,717,795",11
137,"18,101,118,133,135,194,645",7
138,"8,18,58,59,127,154,167,538,545,575,579,616,886",13
139,"16,31,52,64,97,241,266,280,556",9
140,"2,4,5,39,52,207,234,235,239,267,355,493,642,935",14
141,"20,40,46,58,69,296,339,378,474,505,541,549,581,718,767,786,938,950,951",19
142,"8,24,34,65,100,344,455,616",8
143,"0,3,16,24,56,144,198,204,267,445,483,551,562,710",14
144,"3,8,26,86,143,171,295,299,385,660,675,768,952",13
145,"13,25,27,59,80,240,468,541,572,591,629,639,747,754,761",15
146,"9,10,13,30,121,168,288,292,331,468,518,565,571,595,611,695,734,825,952",19
147,"7,9,34,53,64,236,262,275,420,529,552,615,670,766,844",15
148,"3,17,34,72,87,173,189,375,497",9
149,"26,28,71,81,107,156,173,234,293,360,611,647,719,744,905,941,943,965,990",19
150,"9,22,30,62,133,183,385,386,441,477,496,597,791",13
151,"3,7,20,68,87,199,200,216,370,477,548,568,670",13
152,"2,20,30,50,107,334,360,554,642,739",10
153,"10,11,30,52,129,156,161,245,353,370,478,605,838,894",14
154,"5,12,50,89,138,178,254,434,567,576,815,848,886",13
155,"6,52,86,94,131,249,316,325,383,462,777",11
156,"0,24,132,149,153,230,289,304,372,421,429,812,898",13
157,"1,7,12,28,108,323,350,459,531,926",10
158,"6,7,52,54,131,639,706,769,813",9
159,"1,4,89,99,103,169,343,561,606,615,630,695,761,798",14
160,"14,28,33,48,123",5
161,"4,14,34,109,153,203,233,258,300,403,459,569,652,668,794,874",16
162,"4,47,52,83,88,178,233,234,272,290,632,818,914",13
163,"14,21,22,33,88,169,195,210",8
164,"4,11,15,39,121,316,397,970",8
165,"23,26,58,61,128,180,237,300,692,864",10
166,"0,4,18,61,105,276,279,318,324,412,420,599,600,638,830,912,981",17
167,"3,13,82,106,138,384,392,501,656,797",10
168,"4,52,84,98,146,238,322",7
169,"7,24,30,159,163,211,369,470,532,809,868",11
170,"4,6,11,20,125,307,322,340,400,494,696,755,812,814,917",15
171,"4,6,64,113,144,221,311,318,474,481,530,593,622,707,740,776,885",17
172,"5,14,65,91,106,183,210,219,278,280,320,359,422,472,499,751,844",17
173,"8,13,99,148,149,214,327,449,789,946",10
174,"36,64,78,107,108,242,802",7
175,"2,13,16,33,43,227,286,382,446,508,577,599,685,778,841,853,917,966",18
176,"3,6,18,24,93,293,403,945",8
177,"1,4,7,68,72,368,484",7
178,"3,78,85,154,162,190,338,682,907",9
179,"14,16,46,51,119,463,549,585,891,932,992",11
180,"4,10,11,23,165,462,524,897",8
181,"3,18,20,30,34,255,359,373,436,708,822,922",12
182,"5,15,20,28,123,495,548,762,855,866,869,985",12
183,"25,36,94,150,172,236,400,744,930",9
184,"33,34,36,39,102,216,270,271,527,794,981",11
185,"3,33,53,92,123,315,862",7
186,"17,25,64,94,105,335,349,364,488,558",10
187,"26,28,37,63,76,233,250,307",8
188,"24,28,38,63,122,229,355,379,388,636,652,679,719,766,934",15
189,"0,7,29,93,148,257,439,447,626,718,780",11
190,"16,39,56,110,178,235,333,366,435,437,521,642,711,938",14
191,"0,5,56,123,135,258,281,283,423,480,529,538,829,869",14
192,"2,7,17,49,78,273,284,511,543,627,649,959",12
193,"5,41,44,83,93,274,279,299,329,509,584,862,940",13
194,"1,30,92,104,137,229,282,290,298,336,409,420,433,627,658,700,948",17
195,"0,65,70,88,163,245,263,266,374,418,861",11
196,"4,34,45,75,91,198,403,556,593,663,819,832",12
197,"4,17,47,119,123,354",6
198,"3,53,128,143,196,371,411",7
199,"0,4,49,85,151,215,367,370,569,574,635,688,726,953",14
200,"4,11,62,81,151,261,263,306,354,392,415,422,473,475,539,546,620,762,818,846,920,946,974,982",24
201,"17,23,39,66,72,265,358,453,519,598",10
202,"5,65,69,81,128,206,228,273,274,431,526,558,580,606,627,637",16
203,"0,9,85,98,161,387,394,452,667,685",10
204,"2,21,104,116,143,309,385,456,546,562,586,628,699,804,861,895,944",17
205,"4,17,53,90,92,430,535,631,823,851,972,992",12
206,"5,75,87,115,202,336,436,480,572,608,633,756,841,843,910",15
207,"24,32,34,102,140,398,570",7
208,"7,40,62,65,132,337,388,419,465,496,525,566,582,658,747,826",16
209,"5,29,72,93,133,347,488,768,971",9
210,"72,76,110,163,172,610,989",7
211,"36,80,87,117,169",5
212,"7,51,56,80,111,295,399,667",8
213,"29,39,42,94,113,858,963",7
214,"0,29,63,92,173,246,285,340,345,424,514,519,622,918,972",15
215,"0,30,70,106,199,278,604,676,995",9
216,"2,48,85,151,184,384,804",7
217,"21,26,34,110,134,332,434,601,940",9
218,"7,11,19,70,95,265,338,435,497",9
219,"1,5,52,81,172,308,343,393,586,985",10
220,"1,13,15,32,113,221,321,406,439,563",10
221,"12,18,19,171,220,480,864",7
222,"3,15,37,40,41,260,390,484,499,574,598,632,695,855",14
223,"4,20,30,52,110,287,303,345,406,643,682,779,888",13
224,"9,41,53,106,124,249,292,387,473,483,489,549,792,897,916,917",16
225,"20,59,63,119,129,247,339,420,454,666,716,880,915",13
226,"4,11,15,39,65,393,537,635,921,933",10
227,"0,4,7,23,175,326,698,720",8
228,"2,31,58,74,202,285,306,316,788,804",10
229,"3,62,87,188,194,306,441,489,508,512,589,621",12
230,"4,19,63,123,156,288,333,447,668,833,851",11
231,"46,62,88,93,107,294,312,372,447,560,613",11
232,"4,27,29,79,94,295,759,796",8
233,"22,81,161,162,187,402,460,559,831,954",10
234,"3,85,140,149,162,265,305,381,382,418,515,559,588,759,911",15
235,"11,70,79,140,190,394,942",7
236,"0,30,40,147,183,273,307,317,347,471,650,699,877",13
237,"0,29,54,76,165,479,715,983",8
238,"13,24,28,52,168,328,358,379",8
239,"20,79,88,104,140,555,677",7
240,"4,64,98,104,145,264,365,380,421,653,717,781,986",13
241,"0,48,84,106,139,337,710,782,890,941,953",11
242,"2,11,52,69,174,308,358,428,487,492,614,621",12
243,"20,29,33,55,70,253,255,323,494,689,793,810,927",13
244,"9,49,52,76,85,381,445,534,615,622,783,947",12
245,"14,33,75,153,195,254,348,548,728,807,816,934",12
246,"17,30,55,75,214,320,378,495",8
247,"0,3,91,94,225,449,457,644,650,767,794,839",12
248,"12,16,39,42,117,334,457,481,482,520,729,734,776,800,840,941",16
249,"12,97,114,155,224,266,281,411,823,834,926,996",12
250,"14,28,38,55,187,287,405,510,574,576,583,663,733,741,869,898",16
251,"2,5,24,65,76,357,389,440,548,755",10
252,"23,30,54,86,88,605",6
253,"5,26,63,86,243,581",6
254,"0,3,84,154,245,272,513",7
255,"66,75,81,181,243,309,352,791,910",9
256,"0,30,53,63,87,286,580,590,854",9
257,"17,87,104,121,189,345,347,499,557,568,789,932,991",13
258,"14,28,101,161,191,323",6
259,"5,30,38,100,134,270,417,499,524,606,641,782,789,808,849,955",16
260,"4,53,83,94,222,396,430,510,537,949",10
261,"34,60,89,123,200,395,454,496,538",9
262,"1,3,11,87,147,301,394,634,698,828,856,963,984",13
263,"0,4,39,195,200,317,360,373,451,507,592,680,771,917",14
264,"2,7,34,42,240,289,390,433,539,987",10
265,"72,73,201,218,234,451,688,799",8
266,"54,70,139,195,249,358,521,564,790",9
267,"76,118,124,140,143,271,594,764,859",9
268,"3,22,30,83,99,396,501",7
269,"15,61,67,87,123,292,418,491,552,671,758,837,967",13
270,"2,80,105,184,259,301,327,328,577,676,773,925",12
271,"1,11,36,184,267,517,766",7
272,"1,10,72,162,254,304,344,643,795,906,948,957,983,993",14
273,"9,69,192,202,236,291,335,466,949",9
274,"5,33,105,193,202,561,635",7
275,"20,24,53,55,147,276,579,708",8
276,"49,54,66,166,275,391,523,578,657,712,816,934,936",13
277,"4,25,34,43,125,294,376,406,900,995",10
278,"14,111,113,172,215,327,358,479,618,626,853",11
279,"13,51,69,166,193,728,765,773,909",9
280,"16,51,81,139,172,473,548,558,799",9
281,"0,4,125,191,249,417,474,494,620,821,887",11
282,"7,34,42,77,194,369,399,415,673,696",10
283,"42,54,82,98,191,297,311,430,470,486,568,596,611,681,721,768,785,832,981",19
284,"15,16,40,134,192,401,653",7
285,"20,32,38,214,228,412,683,939",8
286,"4,38,94,175,256,793,970,997",8
287,"4,8,80,223,250,490,714,828",8
288,"5,27,59,146,230",5
289,"8,23,75,156,264,440,495,730,748,842",10
290,"4,12,107,162,194,521,585,806,849,931",10
291,"11,22,32,124,273,696,806",7
292,"5,98,146,224,269,568,596,863,889",9
293,"12,75,98,149,176,354,748,876,958",9
294,"48,53,68,231,277,469",6
295,"8,55,144,212,232,437,685,848",8
296,"39,85,92,108,141,697",6
297,"34,39,47,58,283,443",6
298,"0,10,93,94,194,728,839,855",8
299,"4,9,129,144,193,386,428,461,799",9
300,"9,39,44,161,165,518,561,771,849",9
301,"11,99,123,262,270,428,633,641,882",9
302,"13,54,55,62,101,304,359,539,593,602,618,920",12
303,"0,3,16,66,223,556,640,813,938",9
304,"0,54,156,272,302,425,514,585,725,898,949",11
305,"3,74,88,108,234,882",6
306,"8,33,200,228,229,637",6
307,"14,34,170,187,236,500,602,763",8
308,"2,41,84,219,242,344,437,460,912,968",10
309,"7,11,18,204,255,419,573,664",8
310,"25,32,63,68,113,408,519,604,967",9
311,"29,55,87,171,283,373,399,513,574,737,772,796",12
312,"14,40,46,94,231,329,809,958",8
313,"13,79,82,86,105,536,785,938",8
314,"15,22,29,72,124,748,763",7
315,"2,3,25,88,185",5
316,"24,51,155,164,228,352,674,773,900,927,943",11
317,"21,41,53,236,263,498,502,761,771",9
318,"0,10,30,166,171,406,520,778,965",9
319,"2,65,90,91,92,415,923",7
320,"65,88,121,172,246,330,431,449,500,543",10
321,"55,77,96,126,220,401,429,594",8
322,"38,63,119,168,170,555,577,699,852,905",10
323,"27,107,157,243,258,700,944",7
324,"2,3,4,53,166,340",6
325,"11,29,35,53,155,542,801,970",8
326,"0,10,57,128,227,684,786,831,891,910",10
327,"8,77,173,270,278,347,846,852",8
328,"1,5,11,238,270,567,602,822,958",9
329,"28,38,72,193,312,439,605,843",8
330,"1,30,39,46,320",5
331,"0,1,3,29,146,342,429,750,809",9
332,"20,52,72,115,217,653,660,805",8
333,"8,16,79,190,230,346,460,545,684,717",10
334,"10,16,72,152,248,367,502,643,702,800,837,888,931,996",14
335,"51,60,116,186,273",5
336,"31,94,106,194,206,543,579,617,739",9
337,"34,63,113,208,241,341,422,484,581,676,760",11
338,"1,51,81,178,218,610,864",7
339,"26,30,128,141,225,561,567",7
340,"33,85,170,214,324,399,445,564,801,845",10
341,"17,29,81,106,337,442,569,911",8
342,"0,37,75,126,331",5
343,"11,23,124,159,219,534,674,686,996",9
344,"40,42,142,272,308,465,743",7
345,"0,11,214,223,257,748,767",7
346,"5,11,80,95,333,407,427,478,489,525,582,607",12
347,"3,209,236,257,327,435",6
348,"1,10,22,128,245,364,406,482,485,580,615,883",12
349,"4,52,58,100,186,503,766,959",8
350,"3,43,74,77,157",5
351,"11,53,65,68,71,433,440,455,526,642,774,909",12
352,"24,81,83,255,316,966",6
353,"21,30,43,91,153,395,423,526,605,613,783,854,873",13
354,"11,91,197,200,293,357,397,460,866",9
355,"17,18,32,140,188,405,487,564,691,731,870",11
356,"0,3,65,112,123,361,489,492,544,765",10
357,"23,39,118,251,354,475,592,668,741,835",10
358,"201,238,242,266,278,511",6
359,"87,99,172,181,302,892,941",7
360,"91,114,149,152,263,451,656,830,839",9
361,"3,28,53,89,356,389,578,788,801",9
362,"2,28,30,111,125,408,497,527,985",9
363,"19,29,37,65,76,692,717",7
364,"14,25,83,186,348",5
365,"16,34,72,77,240,531,644",7
366,"3,94,98,127,190",5
